,abdt,tg,inuidur1,female,black,hispanic,othrace,dep,q1,q2,q3,q4,q5,q6,agelt35,agegt54,durable,nondurable,lusd,husd,muld
40,10649,6,17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
41,10866,3,41,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
42,10866,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
43,10558,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
44,10747,2,29,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
45,10642,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,10642,6,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
47,10614,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
48,10572,0,14,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
49,10663,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
50,10684,3,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
51,10656,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
52,10866,2,27,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
53,10656,6,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54,10614,2,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0
55,10880,2,27,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
56,10565,5,33,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
57,10789,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
58,10768,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
59,10649,0,27,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
60,10670,4,27,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
61,10600,6,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
62,10796,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
63,10873,5,27,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
64,10558,0,25,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0
65,10691,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
66,10593,5,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
67,10649,2,14,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
68,10866,3,4,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0
69,10621,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
70,10607,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
71,10831,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
72,10810,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
73,10677,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74,10551,4,13,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0
75,10733,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
76,10796,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
77,10712,3,15,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
78,10768,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
79,10607,6,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
80,10719,0,27,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
81,10726,4,14,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0
82,10607,5,28,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
83,10593,1,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
84,10593,5,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
85,10845,0,18,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
86,10558,2,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
87,10803,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
88,10852,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
89,10705,6,9,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
90,10831,5,27,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0
91,10663,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
92,10684,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
93,10684,2,21,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
94,10761,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
95,10600,6,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
96,10544,2,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
97,10698,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
98,10411,5,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
99,10698,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
100,10782,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
101,10733,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
102,10621,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
103,10831,4,11,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0
104,10607,1,8,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
105,10593,3,27,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
106,10845,5,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
107,10523,0,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
108,10782,3,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
109,10726,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
110,10628,2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
111,10719,6,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
112,10530,5,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
113,10600,2,27,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
114,10782,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
115,10649,6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
116,10817,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
117,10523,6,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
118,10726,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
119,10838,2,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
120,10565,2,28,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
121,10516,4,2,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0
122,10586,6,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
123,10740,2,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
124,10607,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
125,10537,0,18,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
126,10677,6,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
127,10516,5,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
128,10586,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
129,10789,2,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
130,10649,2,27,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1
131,10796,0,28,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
132,10684,0,25,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
133,10649,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
134,10796,4,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0
135,10544,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
136,10810,2,1,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0
137,10810,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
138,10621,2,27,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
139,10565,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
140,10593,6,27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
141,10698,6,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
142,10572,6,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
143,10523,5,20,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
144,10635,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
145,10614,6,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
146,10418,5,37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
147,10586,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
148,10565,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
149,10558,3,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
150,10621,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
151,10747,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
152,10747,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
153,10803,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
154,10761,4,10,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
155,10824,4,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
156,10726,6,28,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
157,10782,5,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
158,10572,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
159,10810,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
160,10880,2,27,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
161,10628,6,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
162,10614,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
163,10551,0,27,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
164,10523,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
165,10852,0,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
166,10593,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
167,10663,5,1,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0
168,10817,1,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
169,10544,3,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
170,10691,4,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
171,10600,0,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
172,10544,0,27,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0
173,10740,3,16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
174,10635,6,14,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
175,10719,4,19,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
176,10810,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
177,10768,5,23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
178,10705,2,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
179,10663,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
180,10726,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
181,10516,3,22,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1
182,10516,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
183,10474,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
184,10831,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
185,10775,4,27,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
186,10642,3,17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
187,10712,6,6,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
188,10782,0,27,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
189,10551,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
190,10614,4,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
191,10628,3,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
192,10656,3,13,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
193,10607,2,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
194,10607,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
195,10831,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1
196,10628,3,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
197,10817,4,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
198,10607,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
199,10873,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
200,10719,1,9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
201,10558,6,25,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
202,10698,1,27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
203,10593,4,27,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
204,10873,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
205,10831,0,4,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0
206,10768,0,33,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
207,10866,0,25,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0
208,10761,5,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
209,10649,5,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
210,10873,0,27,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
211,10523,6,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
212,10691,5,6,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1
213,10600,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
214,10621,0,27,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
215,10859,5,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
216,10516,6,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
217,10523,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
218,10824,3,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
219,10859,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
220,10593,3,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
221,10565,0,28,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
222,10572,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
223,10530,2,27,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0
224,10670,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
225,10621,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
226,10523,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
227,10712,6,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
228,10663,2,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
229,10523,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
230,10607,4,23,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
231,10544,5,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
232,10698,3,20,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
233,10761,4,27,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
234,10845,4,29,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0
235,10824,4,15,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
236,10817,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
237,10719,2,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
238,10614,6,6,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1
239,10642,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
240,10649,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
241,10544,0,5,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1
242,10866,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
243,10712,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
244,10789,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
245,10831,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
246,10579,5,14,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
247,10537,4,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
248,10579,4,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
249,10803,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
250,10880,0,27,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
251,10873,5,27,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
252,10845,5,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
253,10817,1,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0
254,10544,4,7,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1
255,10579,0,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
256,10663,6,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
257,10614,6,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
258,10831,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
259,10544,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
260,10754,5,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
261,10607,1,7,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0
262,10810,4,12,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
263,10838,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
264,10691,3,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
265,10761,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
266,10726,5,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0
267,10593,0,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
268,10544,5,37,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
269,10649,1,29,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1
270,10740,6,27,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
271,10691,3,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
272,10523,0,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
273,10859,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
274,10852,0,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
275,10726,2,27,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
276,10579,3,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
277,10684,2,13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
278,10726,6,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
279,10698,2,27,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0
280,10593,3,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
281,10621,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
282,10754,6,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
283,10712,6,15,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
284,10810,2,27,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0
285,10516,2,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
286,10621,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
287,10607,0,28,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
288,10845,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
289,10670,2,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
290,10628,2,27,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
291,10789,5,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
292,10782,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
293,10698,4,9,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
294,10530,2,4,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
295,10705,6,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
296,10551,5,24,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1
297,10775,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
298,10621,3,8,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
299,10593,0,23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
300,10481,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
301,10873,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
302,10523,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
303,10663,3,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0
304,10768,2,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
305,10866,2,28,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
306,10768,5,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
